"margin","game_seconds_remaining","trailing_timeouts","leading_timeouts","trailing_is_home","trailing_wp","leading_wp"
7,0,0,0,TRUE,0.0310956593602896,0.96890434063971
8,0,0,0,TRUE,0.0114003485068679,0.988599651493132
9,0,0,0,TRUE,0.00798762030899525,0.992012379691005
7,30,0,0,TRUE,0.0668772086501122,0.933122791349888
8,30,0,0,TRUE,0.0441258363425732,0.955874163657427
9,30,0,0,TRUE,0.017663698643446,0.982336301356554
7,60,0,0,TRUE,0.0809309780597687,0.919069021940231
8,60,0,0,TRUE,0.0536735691130161,0.946326430886984
9,60,0,0,TRUE,0.0216151606291533,0.978384839370847
7,90,0,0,TRUE,0.0998254045844078,0.900174595415592
8,90,0,0,TRUE,0.0536735691130161,0.946326430886984
9,90,0,0,TRUE,0.0216151606291533,0.978384839370847
7,120,0,0,TRUE,0.104717299342155,0.895282700657845
8,120,0,0,TRUE,0.0536735691130161,0.946326430886984
9,120,0,0,TRUE,0.0291349589824677,0.970865041017532
7,150,0,0,TRUE,0.109630607068539,0.890369392931461
8,150,0,0,TRUE,0.0543455891311169,0.945654410868883
9,150,0,0,TRUE,0.0458577573299408,0.954142242670059
7,180,0,0,TRUE,0.131731584668159,0.86826841533184
8,180,0,0,TRUE,0.058529682457447,0.941470317542553
9,180,0,0,TRUE,0.049422524869442,0.950577475130558
7,210,0,0,TRUE,0.147641941905022,0.852358058094978
8,210,0,0,TRUE,0.0737643092870712,0.926235690712929
9,210,0,0,TRUE,0.0564899705350399,0.94351002946496
7,240,0,0,TRUE,0.145887181162834,0.854112818837166
8,240,0,0,TRUE,0.0764932259917259,0.923506774008274
9,240,0,0,TRUE,0.0557477176189423,0.944252282381058
7,270,0,0,TRUE,0.156889975070953,0.843110024929047
8,270,0,0,TRUE,0.0871858447790146,0.912814155220985
9,270,0,0,TRUE,0.0614983849227428,0.938501615077257
7,300,0,0,TRUE,0.156889975070953,0.843110024929047
8,300,0,0,TRUE,0.0966192111372948,0.903380788862705
9,300,0,0,TRUE,0.0614983849227428,0.938501615077257
7,330,0,0,TRUE,0.156889975070953,0.843110024929047
8,330,0,0,TRUE,0.108820222318172,0.891179777681828
9,330,0,0,TRUE,0.0762323141098022,0.923767685890198
7,360,0,0,TRUE,0.156889975070953,0.843110024929047
8,360,0,0,TRUE,0.118179060518742,0.881820939481258
9,360,0,0,TRUE,0.101787485182285,0.898212514817715
7,390,0,0,TRUE,0.163890510797501,0.836109489202499
